ID,Time step,Position,Number of neighbors,Moved,Transacted,Poor,Rich,Amount of income gained/lost,Amount of tax paid,Amount of tax received,Amount of charity given,Amount of charity received
0,0,"6,16",4,False,True,False,False,1.0,0.49029126213592233,0.09657252132980286,0,0
1,0,"18,15",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
2,0,"4,7",1,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
3,0,"16,8",1,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
4,0,"18,13",1,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
5,0,"7,9",3,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
6,0,"3,0",1,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
7,0,"6,9",3,False,True,False,False,1.0,0.49029126213592233,0.09657252132980286,0,0
8,0,"11,2",3,False,True,False,False,1.0,0.49029126213592233,0.09657252132980286,0,0
9,0,"5,10",4,False,True,False,False,-2.0,0.0,0.09657252132980286,0,0
10,0,"6,12",4,False,True,False,False,2.0,0.49514563106796117,0.09657252132980286,0,0
11,0,"18,10",1,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
12,0,"15,0",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
13,0,"11,6",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
14,0,"14,13",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
15,0,"19,16",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
16,0,"15,6",3,False,True,False,False,1.0,0.49029126213592233,0.09657252132980286,0,0
17,0,"16,13",1,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
18,0,"14,12",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
19,0,"12,5",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
21,0,"9,12",1,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
22,0,"1,14",1,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
24,0,"5,1",2,False,True,False,False,1.0,0.49029126213592233,0.09657252132980286,0,0
25,0,"2,16",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
26,0,"10,15",3,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
27,0,"17,2",1,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
28,0,"11,17",3,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
31,0,"11,8",1,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
32,0,"11,18",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
34,0,"17,17",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
35,0,"13,3",4,False,True,False,False,3.0,0.5,0.09657252132980286,0,0
36,0,"14,2",4,False,True,False,False,-1.0,0.0,0.09657252132980286,0,0
37,0,"16,18",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
38,0,"7,15",2,False,False,False,False,0.0,0.0,0.09657252132980286,0,0
