ID,Time step,Position,Number of neighbors,Moved,Transacted,Poor,Rich,Amount of income gained/lost,Amount of tax paid,Amount of tax received,Amount of charity given,Amount of charity received
0,0,"1,16",3,False,False,False,False,0.0,0.0,0.15802015250544668,0,0.0
1,0,"17,8",4,False,True,False,False,2.0,0.5,0.15802015250544668,0,0.0
2,0,"15,8",3,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
3,0,"1,3",2,False,False,False,False,0.0,0.0,0.15802015250544668,0,0.0
4,0,"8,5",2,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
5,0,"8,8",1,False,False,False,False,0.0,0.0,0.15802015250544668,0,0.0
6,0,"14,15",3,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
7,0,"17,15",2,False,False,False,False,0.0,0.0,0.15802015250544668,0,0.0
8,0,"15,5",4,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
9,0,"14,7",5,False,True,False,False,0.0,0.49019607843137253,0.15802015250544668,0,0.0
10,0,"17,7",4,False,True,False,False,-1.0,0.4852941176470588,0.15802015250544668,0,0.0
11,0,"17,5",3,False,False,False,False,0.0,0.0,0.15802015250544668,0,0.0
12,0,"19,8",1,False,False,False,False,0.0,0.0,0.15802015250544668,0,0.0
13,0,"11,3",1,False,False,False,False,0.0,0.0,0.15802015250544668,0,0.0
14,0,"11,15",4,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
15,0,"16,9",5,False,True,False,False,-1.0,0.0,0.15802015250544668,0,0.0
16,0,"11,16",3,False,True,False,False,0.0,0.49019607843137253,0.15802015250544668,0,0.0
17,0,"9,1",3,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
18,0,"13,14",3,False,False,False,False,0.0,0.0,0.15802015250544668,0,0.0
19,0,"2,9",3,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
20,0,"1,12",2,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
21,0,"1,9",3,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
22,0,"10,16",3,False,True,False,False,-1.0,0.0,0.15802015250544668,0,0.0
23,0,"13,8",2,False,False,False,False,0.0,0.0,0.15802015250544668,0,0.0
24,0,"9,19",2,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
25,0,"14,16",2,False,True,False,False,-1.0,0.0,0.15802015250544668,0,0.0
26,0,"13,11",2,False,True,False,False,1.0,0.4950980392156863,0.15802015250544668,0,0.0
